기사 작성일,댓글 작성일,댓글 내용,좋아요,싫어요,라벨
20201201,20201201,장진영검사  웃기지도 않는다. 당신같은 개검도 국민은 필요치않다. 주제파악도 못하네,1152,251,1
20201201,20201201,일개 검사가 장관에게 사직서를 받겠다니.. 어처구니가 없다... 우리나라의 현재 암적 검찰 권력이 어디까지 퍼져있는지 알 수 있네.. 자기 부처의 장관에게 스스로 목을 치라고 할 정도면 국민은 뭘로 알겠냐... 검찰을 해체하고 새로운 조직으로 재 출발하라~~~~,12,0,1
20201201,20201201,노가다 막일도 엄연히 서열이 있고 추상같은 반장의 영향력이 불문율로 존재한다 도데체 검찰 이노무 조직은 어찌된게 대통령도 법무장관도 모두 지 아래고 일개 검새 한놈이 법무장관을 대놓고 나가라 마라 하냐 저놈 당장 사표부터 받아라 국민의 한사람으로 명령한다,18,0,0
20201201,20201201,장관보고 사퇴하라고 잘하는  부서직원은 우리 대한민국에서 검찰밖에 없다. 우리나라가 검찰공화국임이 틀림없다. 무소불위의 검찰들. 국민 뽑은 대통령보다 저들이 저 높다고 생각하는 것 같다. 국민이 뽑은 대통령이 임명한 장관을 사퇴하라고 당당하게 말하는 당신.  국민의 이름으러 니가 사퇴해라,21,0,-1
20201201,20201201,검새야! 니가 먼저 그만두렴,2368,476,-1
20201201,20201201,이놈 변호사도 못하게 처리하라 퇴직하면 변호사해 먹고 살아갈 수 있으니  이런 망동을 한다. 법을 개정해서라도 하극상하는 놈들은  처벌을 해야하고 변호사 못하게하라.,15,0,-1
20201201,20201201,검찰공화국이 총만 있으면 쿠테타하겠어 ㆍ하극상이네  전두환때 보는것같어,3080,356,-1
20201201,20201201,"그깟 검사의견보다 왜 민주당에 표를 몰아주었나를 잊으면 안됨. 검찰개혁, 공수처 하라고 민주당 밀어준거야",7566,577,-1
20201201,20201201,"장진영검사는 야당 대변인 같다. 정치적인 언행을 하며, 여러 의혹에 노출되 있는 현직 종장 사퇴에 대해서는 한마디 언급도 없이 장관을 시퇴하라는 것은 국민들이 용납하지 않으며, 본인이 부패한 검찰 중에 한명이라는 것을 자인하는 것 같다. 당연히 현직 총장에 대한 언급이 있어야만 본인의 발언에 대해 정당성이 부여 된다.",5177,578,-1
20201201,20201201,일단 사직서 걸고 얘기하세요. 지들 잘못한건 눈에 안보이는 족속들...,2605,311,-1
20201201,20201201,정당한 업무를 보는 장관에게. 이정도면 공무원 항명 아닌가. 다른 부처  공무원  처럼 검사들을 대하라,15,1,-1
20201201,20201201,너부터 사퇴해라.,3228,400,-1
20201201,20201201,"니가 가라 .,   웃긴 넘이네.. 절이 싫으면  중이 나가야지..  추미애 장관님 격하게 응원합니다",11,0,-1
20201201,20201201,일개 검사 나부랭이가  싸가지 없대이. 겁대가리  없으면 지부터 사표 낼 것을. 쫄아서 조동아리만 나불거려,4218,660,-1
20201201,20201201,장진영 대전지검 검사는 단독으로 사표 써주길 바랍니다 국민의 열망인 검찰 개혁을 방해하는 죄로 국민의 한사람으로써 그대에게 요구합니다 당장 사표쓰고 떠나라,12451,846,-1
20201201,20201201,검찰의 독주를 막아야합니다 검찰의 독재를 막고 언론을 개혁해야  진정한 민주주의가 완성됩니다,3315,420,-1
20201201,20201201,공무원 사회에서 하급자가 상급자에게 사표쓰라는 말은 처음 들어본다.  니들이 사표쓰고 나가라. 그럼 박수 많이 받을 것이다. 천하에 쓰레기들아!,139,18,-1
20201201,20201201,검찰 내부망을 폐쇄하라. 정치적 선언의 장으로 변질됐다. 장검사는 너 자신을 알라.,1935,538,-1
20201201,20201201,니가 먼저 내면서 말을 하던지...,1557,237,-1
20201201,20201201,"일개. 떡검 .고문공장. .간첩공장 이나. 하는. 넘들이 하극상은. 공직자. 근무기강도., 모르는 넘들이 맹인검찰. 예금잔액증명서 위조도. 혐의. 없다는 개검아",5812,368,-1
20201201,20201201,잘했다. 끝까지 타협하지말고 전과자 만들어라. 악성댓글의 댓가가 얼마나 무서운지 맛을 보여줘라,5964,2107,-1
20201201,20201201,일베들이 결국 다음 까지왔네 ㅋㅋ 애쓴다 ㅉㅉ,93,14,-1
20201201,20201201,화이팅   대깨문들  욕한것  똥물로  값아주어라,3771,3522,-1
20201201,20201201,다 잡아넣어,1865,233,-1
20201201,20201201,잘한다~,1707,238,-1
20201201,20201201,"이 사람, 자기가 잘 몰라서 한 말이라고 밝혀지지 않았나? 장교가 이미 승인해준 것을 당직사병이 결국 몰라서 그런거 아녀? 참 세상에 여러 사람 있네.",7211,1383,-1
20201201,20201201,응원합니다~ 본대로 들은대로  증언한것이 뭐가 잘못되었다고 씹는 걸까요? 절대로 선처하지 마세요~ 그런것들 본때를 보여줘야 합니다~ 국민 한사람 한사람이 제대로된 정신으로 일에 응해야  나라에 대깨문들이 없어집니다~ 잘못된걸 잘못되었다고 하는데 왜들 그럴까요? 응원합니다~~~절대로 선처 해주지 마시오~,6410,4160,-1
20201201,20201201,끝까지가라! 절대 용서하지말고..... 흐지부지 할거면 아예 취하하고,2834,312,-1
20201201,20201201,즈그 새끼만 중한가?,1417,265,-1
20201201,20201201,멋지네요. 화이팅~!!! 이 시대의 영웅입니다. 멋지다,3658,1645,-1
20201201,20201201,저건 혼자 못하는 건데 뒷배경 누군지 안봐도 알겠네,173,15,-1
20201201,20201201,누구나 평등하게 군복무의 혜택을 받아야 하는데... .. 철저히 추씨아들 건을 공정하게 조사를 국민의 한사람으로 부탁드립니다. 빽없는 설음이여 !!!!,4943,3271,-1
20201201,20201201,당직사병 이분은 훌륭한 분이다 5천명 고소 하는게 쉬운 일이 아닌데 사회 정의를 위해서 잘못을 사과 하지 않는 자들은 용서 하지 않는걸 보여주고자 하네 국민당 의원 한명이라도 이런 희생 정신이  있는 분이 있다면 좋을텐데...,4362,3014,-1
20201201,20201201,다음도 쓰레기천지가 됐구나,103,1,-1
20201201,20201201,합의 해주지 마세요,3079,328,-1
20201201,20201201,고소가 남발을 하는구나.. 5000명이나 되는구나.. 참나..,1958,1054,-1
20201201,20201201,사과할 생각 없다는데 뭔 사과해도 안봐줘 ㅋㅋ,2153,555,-1
20201201,20201201,"화이팅 ,응원합니다  제발 저 집단 참교육 좀 시켜 주세요",3930,1085,-1
20201201,20201201,내가 응원한다...2,797,98,-1
20201201,20201130,와 이언주 머리 많이 자랐네. 한번 자를때 됐네.,956,91,-1
20201201,20201201,여기.... 저여~!,503,27,-1
20201201,20201201,나!! 엄청 응원한다~~,4608,146,-1
20201201,20201130,내가 응원한다,1270,100,-1
20201201,20201201,나다. 그리고 우리다.,1110,114,-1
20201201,20201130,정신 똑바로선 모든 사람들~~~~,1876,60,-1
20201201,20201201,언주 이것은 뚤린구멍 으로 똥같은 배설물만 쏫아내네 정말 악취요 소음공해다,139,56,-1
20201201,20201201,내가   법무부장관님을 응원합니다.,2914,304,-1
20201201,20201201,내가 응원한다.,860,97,-1
20201201,20201201,나도 응원하는데,624,114,-1
20201201,20201201,이언주씨는 검찰 행태에 문제가 있다고 생각하는 다수 국민들과... 국적이 다른 모양입니다.,2080,205,-1
20201201,20201201,나,562,46,-1
20201201,20201201,추미애 장관    응원하는사람     차고도   넘친다ㅡㅡㅡㅡㅡㅡㅡㅡ,15,2,-1
20201201,20201201,언주씨 나도 국민이오,470,62,-1
20201201,20201201,나도  응원한다,712,88,-1
20201201,20201201,실검 올리기 #추미애 응원,811,170,-1
20201201,20201201,너 빼고 다!,1431,99,-1
20201201,20201201,나두 추 응원중인디!,928,231,-1
20201201,20201201,너와 국민의 짐당 지지하는 못난이들 빼고  대한민국 국민 모두가 지지한다.,13,0,-1
20201201,20201201,정총리나   떠나시오~~ 동반사퇴라니... 가당치도 않소 전장에서 잘싸우고 있는 장수의 목을 스스로 치는 격이오,2469,390,-1
20201201,20201201,"동반사퇴론 반대합니다 정세균 국무총리가 떠나세요 추미애 장관님은 완수할 일이 있습니다. 악의 뿌리는 끝까지 파내서 불태워야지 중간에 그만두면 안됩니다 악의 뿌리는 흑위에 내버려도 또다시 악의 뿌리를 내립니다 왜?, 정세균 국무총리가 나서 난리를 치시는 겁니까?  힘을 실어줘야 할 분이 이러시면 곤란합니다. 정의롭지  못한 기회주의자 같읍니다",5092,740,-1
20201201,20201201,병장회의도 안 통하고 정치검사의 댓글 반란도 안통하고 석열이의 꼬장도 안통하니 이젠 총리를 통한 퇴진몰이야?? 기렉들!!!! 열심히들 산다... 우리 추장군님이 일은 무진장 잘하시는 모양이군....,2721,381,-1
20201201,20201201,정총리 왜 그러세요ㅡ 공수처 설치를 위해 당신은 작은 희생이라도 하셨나요ㅡ 후대를 위해 나은 세상 물려 주기 위해 희생한 사람들을 보고도 다시 제자리에서 출발하자는 말이 나옵니까. 정세균도 간첩입니까. 언론이나  검찰과 작은 유착이라도 있나요...제발 도와주지는 못하고 걸림돌이 되지 마세요. 사실이라면 실망이네요,2283,391,-1
20201201,20201201,기레기들이 제다 약 쳐먹었나!! 온갖 가짜뉴스 로 쳐 도배를 하네!!,1600,106,-1
20201201,20201201,검찰개혀의 선봉장  추다르크가  사퇴라니  말이되나.  정세균   정신나갔구먼,1821,496,-1
20201201,20201201,정세균 총리 보시오  추미애장관 사퇴? 토사구팽이요?  개혁앞에 고군분투 하는 장수 한명 지키지 못할거 당신 수십년 정치 왜 하셨소 ?,3379,454,-1
20201201,20201201,이거 가짜뉴스라고 정총리가 직접 얘기했어요 연합찌라시가 지들. 희망사항 기사쓴겁니다,8015,121,-1
20201201,20201201,소설좀 그만써,1145,35,-1
20201201,20201201,장관은  취임시 기본 의무를  잊지말아야 하고 정권도 이를 잊지 말아야 한다.  검찰 조직이  총장땜에 불만 많다하여 동반 사퇴란 것은 본말을 흐리는 것이다.  동반 퇴진은 토착  왜구 카르텔이 의도한 물귀신 작전이다..  동반퇴진른 너무 순진한 생각이다,2901,315,-1
20201201,20201201,기자가 무속인 수준이네.,1291,45,-1
20201201,20201201,"~ 보인다.  ~로 알려졌다.  ~로 해석된다.  작문이여 기사여?? 팩트는 뭐여?? 기자 네 추측말고 팩트를 쓰셔. 기자면 기사를 쓰라고, 작문하지 말고. 틀려도 책임도 안지면서 맨날 작문하고 있어-.-;;",1733,40,-1
20201201,20201201,갈라치기 하는 기레기.,915,56,-1
20201201,20201201,추미애  끝까지 해라  마무리 하세요,2523,519,-1
20201201,20201201,종교계 에도  올바른 생각을 가진사람 많아요,3265,502,-1
20201201,20201201,사건을 바로 보신 선지자 다운  권면 인듯 합니다. 박수를 보냅니다.,3149,543,-1
20201201,20201201,나도 종교 있지만 종교계도 세금을 ....,1006,98,-1
20201201,20201201,종교계가 모처럼만에 제 역할을 하는 것 같군,4405,605,-1
20201201,20201201,추미애 장관님이 검찰개혁 완수하시려고 노력중이십니다 최고의 개혁 응원합니다 👍,10446,867,-1
20201201,20201201,제정신이 박혀있는 사람이라면 검찰개혁을 반대할리가 없다,5702,380,-1
20201201,20201201,멋 찌 네,1799,279,-1
20201201,20201201,"우리나라가 위기에 처했을때 언제나 종교인들이 나라를 구했다. 박정희 유신정권,전두환 독재정권 타도도 종교인들 힘이 컸다. 종교인 여러분 존경합니다.",3744,652,-1
20201201,20201201,종교계의 의식있는 분들. 감사드립니다,4725,691,-1
20201201,20201201,종교계가 나서지 않으면 안될정도로 검찰개혁은 시대적 사명입니다. 작금의 검찰들은 자신들에게 향한 개혁의 과제를 엄숙히 받아들여야 합니다. 그간 자행해 온 검찰의 흑역사를 바로 잡고자 하는 일은 온 국민의 숙원입니다. 검찰은 기득권을 지키려는 일을 삼가하고.... 개혁에 동참하시길 바랍니다.,9967,602,-1
20201201,20201201,짝짝짝 짝짝짝 👏 맞습니다. 무소불위 안하무인 권력. 이번에 빈드시 개혁해야합니다. 성역없는 수사해라. 윤총장이 말하던거다.,4979,372,-1
20201201,20201201,지금의 검찰을 보자면 마치 오대양 광신도 같다.  집단최면에 걸린...,2146,222,-1
20201201,20201130,윤석열 빠돌이 기레기 애잔하다,1129,281,-1
20201201,20201130,왜 떡검보다 기레귀들이 더 발악을 하지~~~,1608,185,-1
20201201,20201130,독재권력 국정농단 아웃. 감방 가야지.,532,118,-1
20201201,20201130,검찰개혁 끝까지 지지합니다!  그 다음은 언론개혁도해 주세요~,1742,381,-1
20201201,20201130,너네 희망사항이것지 기레기야 로또나 사렴,1049,214,-1
20201201,20201130,기레기야 니 바램을 기사로 쓰는것 아니다.,2676,227,-1
20201201,20201130,도대체 뭐가 휘청거린다는거야. 정치검찰  직무정지에  속이다 시원하구먼,5598,541,-1
20201201,20201130,아 기레기들  여론전  어느시대인데 이런 속보이는 짓을 대놓고 하나  안통해 바보들아,4054,268,-1
20201201,20201130,모든 공무원들은 법과 원칙과 절차에 맞게 추미애장관님 처럼만 해라~  그럼 월급주는  국민들이 아깝지 않게 생각되것다. 추장관님 끝까지 소신 굽히지 마시고 나아가십시요. 검찰개혁은 국민이 바라는 일 입니다. 절차와 원칙 그리고 법대로 우리들의 깡으로 버텨내주십시요.. 힘내시라 열 지지 응원드립니다.,2320,1327,-1
