기사 작성일,댓글 작성일,댓글 내용,좋아요,싫어요
20170101,20170101,진짜 닥쳐라,9056,454
20170101,20170101,하...어이가  없네~~,8167,433
20170101,20170101,근데왜 구조를 안해쓰까? 해군도 민간 어선도 간다는데 왜 접근 못하게 해쓰까?,4792,254
20170101,20170101,아니 엊그제는 전혀 기억이 안난다고  했잖아  ? 이공갈 사기꾸나,7478,379
20170101,20170101,제발 쫌! 꺼져 주세요.,4188,260
20170101,20170101,유체이탈.. 고마 씨부리고 꺼지라. 정초부터 재수없게 짖어대지 말고.,11497,520
20170101,20170101,헐....,3385,219
20170101,20170101,병신년 끝났다. 적당히 좀 해라.,10112,474
20170101,20170101,성형수술 다 했다고? 미친~~~,29177,1246
20170101,20170101,미치겠다   인면수심 의 끝을 보았다,3593,218
20170101,20170101,묵비권으로 뭘 여자의사생활이라고 밝힐수 없다고는,3328,200
20170101,20170101,정초부터 재수없게,4144,259
20170101,20170101,이분 정신과 진료 좀...,9278,447
20170101,20170101,개 뻥!,27567,1287
20170101,20170101,기억나지 않는다메~~~,3145,187
20170101,20170101,ㅋㅋㅋㅋㅋㅋ  개그가 따로 없네.,3224,198
20170101,20170101,정말중증이다  가서치료받어,10813,477
20170101,20170101,송박영신!,3741,234
20170101,20170101,정초 부터 뭔 개소리를,10298,470
20170101,20170101,할일 다했으면... 자질부족이다  하야하라 대통령은 동네반장이 아니다,12582,519
20170101,20170101,ㅁㅊㄴ ㅈㅅㅊㄹㄹ,1289,29
20170101,20170101,그러니까 주사는 의사가 알아서 처방해야지 맞는환자가 뭘 아냐 단지 비용은 본인이 직접 계산해야지 나도 새금으로 재활받게 해주던가,4850,62
20170101,20170101,대단하다... 칠푼이가 아니라 철면피네ㅋㅋㅋㅋㅋㅋㅋ,13820,196
20170101,20170101,ㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎ 새해에는 정신병자들이 사회에 발 못 붙이게 합시다,2508,38
20170101,20170101,혓바닥이 기네 쫄려? 챙피한지알면 사람들 만나지도 못할텐데 어디서 조아리를 트노? 댁사진그만봤음 좋겠다 소름끼쳐,1741,27
20170101,20170101,"어떤 대통령이 국민 돈으로 재벌특혜,국방비리 저지르는지 참....",5511,67
20170101,20170101,미용주사를  왜 국민혈세로  하는가? 이게  말이돼?,1817,29
20170101,20170101,숱한애들 비아그라먹인채로 그네 태웠으니껜 피로야 하겠지 ..........................................오     고래서 주사맞았군 ㅋㅋㅋㅋㅋ,1620,30
20170101,20170101,피로회복 주사를 낮 짝에다 맞느냐고요!,1469,26
20170101,20170101,지난번의 담화와 같은 화법. 친박과 박사모를 위한 지령인가?!!,1913,38
20170101,20170101,그러니까 아직도 뭘 잘못했는지 모른다잖아. 답없다  진짜! 이런 노답! 답답허다 진짜!,1822,32
20170101,20170101,오늘 기자회견은 박사모의 대동단결과 지지율 4%를 5% 만들기 위한 목적이었음,22287,335
20170101,20170101,아직도 약물에 취해있군. 정상인이 할수있는 말이 한개도 없네. 으이구 ㄷ ㅡ ㅇ ㅅ ㅣ ㄴ 아! 왜사니? 왜살아~~~~,953,24
20170101,20170101,병원 부터 보내라,5707,77
20170101,20170101,피로회복주사를 턱에 맞나? 보고만 받는데도 피곤했나? 연출하는나고 힘드냐?,1040,24
20170101,20170101,변기집착하는건 미쳤다는 증거다,4478,52
20170101,20170101,확실히 일반적인 사람의  마인드는 아니야~~,8312,88
20170101,20170101,새해부터 구질구질 박근혜보다 나는 기자들 잘못이 크다고 본다 보이콧 못하냐?? 벨도 없어?? 노트북이랑 카메라 반입이 왜 안되는데? 흉기냐??,7409,84
20170101,20170101,죄책감도 없고 생각도 없고 정말 무x아네,1154,23
20170101,20170101,말하는 뽀다구봐라  달동네    할머니들이  모여서  나불대는수준,2175,38
20170101,20161231,도대체 위아래도없고 매너도없고  지난 슈퍼맨아이들 인터뷰할때도   자기애들 인터뷰만 한다고 바쁘고   배려도없고 장난하듯 인맥자랑 하듯  장소구분도 못하고 어제는 정말 불쾌했음,4024,26
20170101,20161231,조정식 시상하러 나왔을때도 상대 여자시상자에게  말도안되는 거미줄 드립.... 뭐가 날라올거라는둥,16602,203
20170101,20161231,난 보다 채널 돌렸다!!,2593,21
20170101,20161231,기본이....없어 예의도 없고,1842,18
20170101,20161231,진행자가 그렇게도 없었나? 채널 확 돌려 삣다~~  불쾌해,7759,57
20170101,20161231,진짜 뭐   너무 무례하고 무슨 말장난하러 나온건지 제발 티비 나오지 마라 그날 배우들도 다들 불쾌한얼굴들이던데 지만 혼자 신나서  방송에서 안보고 싶다,2036,15
20170101,20161231,그래서 kbs봤다. 박보금한테 배워야 할듯~ 예의 겸손 진정성있는 말솜씨~ 연예대상때 보고 참 매너 없더라고~,1713,36
