,text
0,외국 처럼 사회에 기부하면 더 좋을듯
1,"자식도 그럽니다.
부모가 돈 많으면 눈치보고 잘 합니다.
니가 벌어서들 써라."
2,내  피붙이도   도는데  조카??......아니라고  보는데
3,"부모가  삥뜯은  돈으로  호의호식하고  크고 
배운게 월까"
4,"박수홍씨
결혼해서
애낳으면되지
아직 안늦었구만"
5,그런부모  밑에서  배운게  뭐가있겠냐
6,"저 수홍 애미도 한패 자나~~

저런 할매한테 돈주고 방송대상까지 주는 시방새 방송국

미우새 같은 거지 프로그램도 이번 기회에 폐지좀 하세요~~~~~"
7,"장정구, 김연자, 박수홍.... 죽쒀서 개준 케이스~  요즘세상을 단적으로 보여주는 일~  가족이 남보다 더 남같은 세상~  가족을 믿지 마세요~  특히 싱글들~"
8,윤정희가 치매걸렸는데  자식이 있는데도 형제들 난리치는것봐라
9,"진짜 이거 남의일이 아니다
내재산 내가원하는곳에 기부하고죽고싶다 !!
진짜 지지받으려면 이런거하는 정치인 나와라
많은이들의 걱정이다 
심지어 유자식부모에게도"
10,"부모가 평상시에 말햇으니깐

애가 저런말 햇지.!!

어떤 조카가 지 혼자 생각해서

삼촌 죽으면 재산 지꺼라고 말하냐

평상시 부모가 말햇으니 

조카 입에서 저 소리 나왓지"
11,"내가 돈이 있어야 부모님도 챙기고..:형제들도 있는거죠
돈 없어봐요 형제라도 ..."
12,엄마 아빠 티비에 다 나오고 했는데 잘 좀 해결되면 좋겠네요...
13,아무리 삼촌이 가까워도 삼촌이 미혼인데..삼촌 재산은 다 내꺼야 라는 소리가 어떻게 나올 수 있지? 그건 일반적인 가족 내에서도 절대 하지 않는 말인데..그런 말을 거리낌 없이 한다는 자체가 그 집안 교육과 분위기를 말하는것이지..어떻게 자기 미혼삼촌에게 삼촌 재산은 내꺼라니...일반적인 상식 수준을 넘음.
14,"뭘 물려줘
번돈 다쓰고 가면 되지"
