기사 작성일,댓글 작성일,댓글 내용,좋아요,싫어요라벨,싫어요,라벨
20210201,20210201,"아들 군대 가고, 서울시장 나오고, TV 조선에서 가족사 보여 주고, 기레기들 기사 써 주고 .. 많이 본 시나리오.",11155,,535.0,1.0
20210201,20210201,너 민원실에 전화하면 청탁이다ㅋㅋ,2184,,136.0,2.0
20210201,20210201,가족 범죄단이 부끄러운 줄도 모르고  쯧,4071,,631.0,1.0
20210201,20210201,기레기야 진심 토나온다,5027,,269.0,1.0
20210201,20210201,언플 징글징글하네.  꼭 견미리딸 기사 보는 듯하네 ㅋㅋㅋㅋㅋ,2023,,213.0,2.0
20210201,20210201,왜 국민들이 이런기사를 봐야하지???,3802,,338.0,0.0
20210201,20210201,진짜  아지메  쇼는 끝이 없는거군요  아들램이  국적인 어디인게요?,5546,,618.0,0.0
20210201,20210201,그만 좀 나와라 언론공해,1863,,296.0,0.0
20210201,20210201,박영선 미국인 아들은 군대 갔나? 분명히 작년 내로 간다고 했었는데?,1150,,456.0,0.0
20210201,20210201,말뚝 박아라 쬐끔 인정해줄게,768,,330.0,0.0
20210201,20210201,그래서 논문저자 위조는?,3075,,236.0,0.0
20210201,20210201,엄마도 쫌 델꾸 가거라~~^^,1285,,284.0,2.0
20210201,20210201,너무 표시가  나서~~~~,955,,121.0,0.0
20210201,20210201,나경원 부산서 “둘째아들을 여기서 낳았다. 난 부산의 어머니다”  근데 소견서가 왜 서울대병원으로 돼 있냐고?  선거때문에 사기친건지 이유라도 말하라고..,2176,,198.0,0.0
20210201,20210201,이런게 왜 뉴스에?,2189,,150.0,0.0
20210201,20210201,구기 아들도 작년 안에 군대 간다고 했는데... 아무 소식이 없네..... 참 비교 돠는구먼...,1787,,1587.0,0.0
20210201,20210201,국민이 알아야 한다 특검하자,2449,,1306.0,0.0
20210201,20210201,고만해라 선거때만 되면 북풍 이젠 안된다는것 초등학생도 다 안다 좀 건설적으로 국민의 감동을 받으면 안되겠나,4157,,519.0,0.0
20210201,20210201,선거철마다 야당이 선거 밀리면 북한이 꼭 등장하지 영화 공작 봤지 버릇 또 나온거야 요즘 가덕도 공항이슈에 판사 탄핵 등으로 야당 지지율 떨어지니깐 공약선거 한다면서 북풍 북한 기사가 기다렸단 듯이 또 나온다 예전 휴전선 총격사건 처럼 타이밍이 늘 그랬지 북한정보란거 김정은 사망설부터 근거없는 헛발질 이였잖아 또속을거냐 북한에 대한 정보망이 있긴하냐 국민의힘 기레기들에 여론조작질 이맘때쯤 선거때마다 한두번이냐구 그때마다 조작이였지 이거 원조가 이명박근혜 때야 원전 지어준다는 말 꺼낸거 누가 먼저인지 국민의짐 그거알아 니네 폭망했어!,7385,,935.0,2.0
20210201,20210201,우리나라 공무원이 자기 목숨을 내놓고  그렇게 창의적이고 독자적인 계획 안을 만들 줄은 진짜 몰랐다.....ㅎㅎㅎ  진짜 용감한 공무원으로 무공훈장감이다. ㅎㅎ,755,,154.0,0.0
20210201,20210201,"정말 징글하다.. 기레기,검새, 일베, 토착왜구들.. 대통령님. 힘내세요. 응원합니다.",4358,,1102.0,1.0
20210201,20210201,특검하자,1680,,433.0,0.0
20210201,20210201,"usb 내용이나 북한 관련 원전문서 다 까발려서 공개한번 해보면 되지 않나 대통령이나와서 강하게 비판한다고 이게 그냥 조용해 질 일인가? 여당,대통령 모두가 다 하는 행동들이 의심가게 하는데 왜 까발려 가지고 의혹을 풀 생각은 안하고 자꾸 말로만 아니다라고 하는지 국민들은 더 궁금해지지",15,,5.0,0.0
20210201,20210201,자신있으면 까면되잔아 야당비판만하지말고 usb까,1638,,1271.0,0.0
20210201,20210201,판단은 국민이합니다,1617,,139.0,0.0
20210201,20210201,특검.국정조사해서 가짜뉴스 퍼뜨린 놈들 싹다 깜빵 넣자,17,,3.0,0.0
20210201,20210201,정말  치졸한 쓰레기 정권이다 정치공세든 아니든  말로 하지말고 그냥 공개하면 될일을 갖은 핑계 다대가면서 정치공세니 선거철이니 얘기가 왜 나오는가? 그냥 다 까면되잔아 니들 쓰레기 정권이 정당하다면 그냥 까라고  그것이 대깨문 뺀 국민이 바라는 것이다 이 한심한 쓰레기 정권아 맨날 말장난,15,,11.0,1.0
20210201,20210201,비판할것 아니라 usb 까라,2415,,1893.0,0.0
20210201,20210201,미쿡이 막아서 금강산 관광도 못하는데  원자력발전소를 어떻게 지어주냐~~  국짐당은 북풍 공작으로 승부하려 하지 말고   국민의 마음을 감동 시키는 정책으로 승부해라~~  정책으로 승부할 자신 없으면 해체하라~~!!!,6339,,773.0,2.0
20210201,20210201,떳떳하면 국정조사 받아라 후 야당에서 헛소리라면 난 야당 지지하지 않는다 법적 책임을 져야하며 사실이면 바로 탄핵 구속이다 왈가불가 할일 아닌듯 숨기면 더 국민은 문정부를 신뢰하지 않을것이다,83,,59.0,0.0
20210201,20210201,판사 책임져라,1280,,57.0,0.0
20210201,20210201,왜풀어주냐 골치아프네,519,,78.0,0.0
20210201,20210201,내가 이 세상에서 제일 많이 싫어하는 너란 인간!,988,,106.0,0.0
20210201,20210201,난 쟈가 간첩아닌가 몰겠어..,989,,91.0,0.0
20210201,20210201,참  왜 풀어주어서,605,,78.0,0.0
20210201,20210201,판사는 저사람을 왜.풀어준 겁니까,1852,,93.0,0.0
20210201,20210201,죽지도않냐? 천국보내줄게,613,,90.0,1.0
20210201,20210201,대통령에게 간첩이라고 하는거여? 저러고도 아직 살아있다는게 신기하네,2715,,213.0,0.0
20210201,20210201,허선아 판사.. 보고 있냐?  판사의 결정이 사회를 얼마나 혼탁하게 할 수 있는지??,5614,,107.0,0.0
20210201,20210201,대통령이 간첩이면 이미 북한에게 넘어갔지  예수팔이 사기꾼아,6185,,200.0,1.0
20210201,20210201,이정도면 내란죄 아니냐?,2307,,80.0,2.0
20210201,20210201,정신감정부터,723,,52.0,1.0
20210201,20210201,참 세상 좋아졌다.,757,,46.0,0.0
20210201,20210201,이쯤되면 판사가 문제야.,2145,,66.0,0.0
