기사 작성일,댓글 작성일,댓글 내용,좋아요,싫어요,라벨
20210301,20210301,니네아빠는 니가 딸인거 싫다.,2405,36,1.0
20210301,20210301,느가부지 뭐하시노?,2872,37,0.0
20210301,20210301,그러게 누구냐??  궁금하다,4428,27,0.0
20210301,20210301,니아빠 누구냐  궁금하다 공개해줘,12045,37,2.0
20210301,20210301,장제원 딸인가? ㅋ ㅋ,13127,567,2.0
20210301,20210301,정신병자네..,2315,48,1.0
20210301,20210301,그래서 아빠가 누군데??,6180,25,0.0
20210301,20210301,애비 누군지 밝히죠. 좀 보게,7736,30,1.0
20210301,20210301,국짐당 애빈가?,4757,1048,1.0
20210301,20210301,니네 아빠가 도대체 누군데??,5189,31,0.0
20210301,20210301,아빠가 누구길래 자식교육을 저따구로.  ..,6607,30,1.0
20210301,20210301,느그아부지 머하시노?,3237,28,0.0
20210301,20210301,느그 아빠 누군데 햄버거 먹고 소릴 지르냐?  국민들에게 느그 아빠 이름 공개해봐라^^,9866,39,1.0
20210301,20210301,저속에 젊은 애들도 있다는게.. 이래서  세뇌가 무섭다,1667,221,0.0
20210301,20210301,전광훈이 무죄 준 판사를 탄핵해야 하는 이유,5723,272,2.0
20210301,20210301,하나님의 거룩한 이름에 먹칠을 하는 적그리스도 마귀 약장수 전광훈은 Go to Hell Assoles,2128,192,1.0
20210301,20210301,도라이들,1197,155,0.0
20210301,20210301,좌파독재라는 사람들 이거 보고 설명좀... 이게 독재에서 일어날 수 있는 일임?,3163,179,1.0
20210301,20210301,이런걸 메인 기사로 올려주는 다음.,2183,101,0.0
20210301,20210301,참  민주주의국가  .. 살기 좋은 세상이야   저런  쓰레기 단체 얘기까지 줄줄이 기사화 해주고  ~ 예전  박정희 전두환 정권때 였음   벌써 남산에 10번은 더  잡혀가  조사받고  구속당했을  오합지졸들  ~,7184,347,1.0
20210301,20210301,이것도 기사라고 써주는 기레기도 비정상,7885,221,1.0
20210301,20210301,기레기대단하다. 이게 기사거리냐,2107,103,1.0
20210301,20210301,에라이 또라이 같으니라구.,1371,177,1.0
20210301,20210301,저 뒤에 돈줄을 잡아야지,1084,75,0.0
20210301,20210301,일개 목사가 뭔데 국민이 선출한 대통령을 우롱하냐 표현의 자유?국가 전복죄다. 체포하라!,5471,432,1.0
20210301,20210301,기레기 제목 장사에 미쳤구먼. 품격을 지켜라,1923,137,1.0
20210301,20210301,전광훈 풀어준 판사야 보고 있제???  나라꼴 어떳노???? 목사하나가 저리 설쳐서 되겠나????,4294,381,2.0
20210301,20210301,한심한 광훈이ㅉㅉ,845,226,2.0
20210301,20210301,쓰레기들,1463,164,1.0
20210301,20210301,저것들 자식들은 일베겠지? ㅋㅋㅋㅋ,1241,193,1.0
20210301,20210228,뉘집 딸인가 우리딸도 학생같은 인성으로 성장했으면 좋겟다 아침부터 눈물 쏟는 기사ㅠ 하남 사람 다 이런거 맞지,3989,25,0.0
20210301,20210228,진정으로 아름다운 삶이란 이런것이다.,2205,17,0.0
20210301,20210228,감동입니다. 배운다고 나오는게 아닙니다. 마음이 너무 따뜻하신분 항상 행복하세요^^,4679,15,0.0
20210301,20210228,치킨에이어...하남 여학생까지.. 가슴이 따뜻하고 먹먹해지네요.. 항상 좋은일들만 함께 하시길...,3309,16,0.0
20210301,20210228,이른 새벽에 눈물이  주르르.... 삶이 참...고단하나 그것을 버티게 해주는 것은 타인의 고통에 공감하는 보이지 않는 천사들 덕분입니다. 여학생도 어머님과 아들들도 행복하시기 바랍니다.,8380,29,0.0
20210301,20210228,눈물이 나네요,1432,12,0.0
20210301,20210228,좋은일만 생길거에요 여학생,2431,15,0.0
20210301,20210228,아침부터 이런 훈훈한 글 너무 좋네요 여학생도 글 올리신 어머님 가족들도 좋은 일만 가득하세요,5013,16,0.0
20210301,20210228,. 내자신이 부끄럽습니다.  본받겠읍니다 ~,1426,24,0.0
20210301,20210228,그  여학생    날개  감춰져  있을겁니다  ᆢ감사합니다  천사님,2904,11,0.0
20210301,20210228,여학생 당신은 날개 없는 천사 입니다!!,3251,19,0.0
20210301,20210228,감동이네요 복 받을겁니다....,2154,16,0.0
20210301,20210228,정치하는 분들만 잘하면 살기좋은 세상인데 영,2580,28,0.0
20210301,20210228,오늘 두건이네 이놈의 정친인 넘들  홍대치킨.편의점 어른이 미안합니다 어른이 잘못했습니다,1362,29,0.0
20210301,20210228,대단한여학생이네요 가정교육도잘받았고 좋은일만 있기를,5859,22,0.0
20210301,20210228,이렁게 예쁜 마음을 지닌 여학생에게 너무나 고맙네요.. 좋은 인성이 있기에 승승장구할겁니다 박수...,6235,22,0.0
20210301,20210228,하남 살 만한 동네인것 같습니다. 감사합니다. 어머님 힘 내시고 여학생분도 복 많이 받으세요..,2975,19,0.0
20210301,20210228,이런 미담이 계속 돠어야 하지만  이렇게 어려운 사람들이 많다는 것 또한 현실이다...  작은 아이 따돌린  애들에게 한마디 하고 싶다..  욕,2525,19,0.0
20210301,20210301,장례지도사 아무나하는거 아닌데 저런 놈한테 자격증을 주네ㅜㅜㅜ하 진짜 마지막 배웅을 저런놈이 하게 둘 수 없잖아..;;,2135,15,0.0
20210301,20210301,본인이 말한데로 책임 져야지 늦었다. 빵에서 반성하면서 살아라~~~,1933,9,0.0
